Feature,Mean Difference,Gender
it,0.397114286,M
l.ed,0.380171429,M
s.ct,0.372114286,M
quite,0.288488889,M
that,0.269985714,M
is,0.266442857,M
say,0.2514,M
much,0.245763636,M
these,0.227014286,M
since,0.224766667,M
seems,0.2236,M
either,0.21715,M
of,0.196742857,M
court’s,0.188461538,M
answer,0.184333333,M
what,0.183507692,M
do,0.181492308,M
says,0.177688889,M
by,0.175828571,M
apparently,0.174533333,M
entirely,0.173488889,M
but,0.171385714,M
upon,0.168753846,M
contain,0.167542857,M
wrote,0.167171429,M
two,0.167061538,M
which,0.166942857,M
the,0.165957143,M
latter,0.165888889,M
any,0.163971429,M
if,0.162957143,M
his,0.157642857,M
being,0.15742,M
obviously,0.1574,M
help,0.156575,M
well,0.156369231,M
this,0.153842857,M
seem,0.15375,M
think,0.15352,M
far,0.15254,M
there,0.151957143,M
assumed,0.151771429,M
only,0.151442857,M
not,0.149371429,M
different,0.1488,M
follows,0.148325,M
writing,0.146,M
subsection,0.145575,M
fact,0.142861538,M
us,0.14215,M
course,0.141933333,M
various,0.141688889,M
a,0.141014286,M
such,0.139042857,M
himself,0.138975,M
way,0.138933333,M
sort,0.1386,M
passed,0.13725,M
defendant’s,0.1372,M
with,0.135957143,M
even,0.1354,M
make,0.135061538,M
text,0.13478,M
he,0.133371429,M
me,0.13314,M
etc,0.1325,M
transferred,0.1325,M
proceedings,0.131745455,M
madison,0.131033333,M
comparable,0.130771429,M
called,0.1296,M
perfectly,0.129366667,M
parte,0.1286,M
correct,0.126733333,M
discussed,0.126,M
judge,0.124615385,M
possibly,0.124533333,M
whose,0.124133333,M
opinion,0.123984615,M
presumably,0.123925,M
does,0.123542857,M
back,0.123333333,M
imprisonment,0.12325,M
perhaps,0.123088889,M
explanation,0.1198,M
dealing,0.119571429,M
nothing,0.119483333,M
views,0.119244444,M
closed,0.119,M
understand,0.118125,M
after,0.117938462,M
have,0.1173,M
describes,0.116,M
dispose,0.116,M
has,0.115571429,M
later,0.11552,M
seemingly,0.1155,M
branch,0.115428571,M
conclusion,0.1154,M
rather,0.114630769,M
matter,0.114483333,M
lawmaking,0.1143,M
deal,0.113771429,M
contended,0.1137,M
putting,0.1136,M
perfect,0.1134,M
was,0.113157143,M
itself,0.112883333,M
than,0.112157143,M
subsections,0.1121,M
tend,0.1117,M
really,0.111533333,M
here,0.111384615,M
forbid,0.1111,M
questions,0.11054,M
describe,0.1104,M
logical,0.11024,M
prefer,0.1102,M
litigating,0.11,M
judges,0.10994,M
ordering,0.109533333,M
except,0.10865,M
look,0.10845,M
thought,0.107688889,M
put,0.107666667,M
try,0.10744,M
mentioned,0.1066,M
normal,0.106571429,M
or,0.106542857,M
who,0.106485714,M
convictions,0.1062,M
get,0.106171429,M
categories,0.106114286,M
just,0.105945455,M
lengthy,0.1058,M
organized,0.1055,M
merit,0.104733333,M
proceeding,0.10454,M
textual,0.10448,M
forth,0.104222222,M
phrases,0.1034,M
stronger,0.1034,M
we,0.103157143,M
content,0.103125,M
explain,0.1028,M
one,0.102785714,M
conclusions,0.1016,M
define,0.101114286,M
authorized,0.100644444,M
totally,0.10024,M
enjoin,0.1002,M
separate,0.099266667,M
difficult,0.099088889,M
includes,0.09895,M
free,0.098909091,M
unable,0.098828571,M
meaning,0.098690909,M
takes,0.098575,M
hard,0.098342857,M
those,0.098257143,M
authorize,0.09815,M
ordinary,0.097888889,M
many,0.097763636,M
respondent,0.097716667,M
details,0.09768,M
whereas,0.0972,M
warren,0.0972,M
strikes,0.0971,M
wood,0.0971,M
differently,0.097028571,M
take,0.096927273,M
some,0.096784615,M
subject,0.09635,M
evaluation,0.09588,M
ones,0.0958,M
presumption,0.094733333,M
executive,0.094688889,M
operating,0.09464,M
probably,0.0942,M
faithful,0.094,M
rejects,0.0938,M
sure,0.093525,M
important,0.09322,M
thereafter,0.09308,M
respondent's,0.093022222,M
applying,0.092888889,M
makes,0.0926,M
attention,0.092525,M
done,0.092488889,M
trial,0.092446154,M
examples,0.092257143,M
naturally,0.09215,M
induced,0.0918,M
depending,0.09135,M
appear,0.09125,M
first,0.091228571,M
been,0.090957143,M
dismissed,0.09095,M
foreclosed,0.0908,M
government’s,0.0908,M
plainly,0.090488889,M
request,0.090488889,M
having,0.090088889,M
three,0.089945455,M
looking,0.0898,M
then,0.089784615,M
stating,0.089675,M
terminated,0.0894,M
utterly,0.0887,M
ever,0.0886,M
literally,0.0886,M
deliver,0.0884,M
ship,0.0884,M
wrong,0.088111111,M
specifically,0.087688889,M
why,0.087509091,M
phrase,0.087488889,M
allen,0.0872,M
unjustified,0.0872,M
going,0.086971429,M
delegate,0.0864,M
obvious,0.086375,M
serious,0.086266667,M
thinks,0.0862,M
assumes,0.086,M
time,0.085907692,M
implied,0.085628571,M
commands,0.0856,M
regular,0.0855,M
appears,0.085488889,M
concededly,0.0851,M
state’s,0.084725,M
more,0.084557143,M
thing,0.084525,M
though,0.084418182,M
political,0.0844,M
ambiguity,0.084171429,M
remove,0.083933333,M
themselves,0.083888889,M
namely,0.083828571,M
represents,0.0834,M
may,0.083357143,M
present,0.083333333,M
respondent’s,0.083333333,M
likewise,0.083171429,M
be,0.082985714,M
placed,0.082925,M
rel,0.082914286,M
find,0.082909091,M
analyzed,0.0828,M
majority,0.082784615,M
consisted,0.0826,M
suffers,0.0826,M
u.s.c,0.082584615,M
support,0.0824,M
freedom,0.082375,M
noted,0.082288889,M
commission’s,0.0822,M
articles,0.0817,M
justifies,0.08168,M
asking,0.08164,M
absolute,0.081571429,M
coast,0.0814,M
difference,0.081288889,M
absolutely,0.0812,M
almost,0.080888889,M
space,0.0807,M
disregarded,0.0806,M
quoted,0.080571429,M
striking,0.08044,M
nn,0.0802,M
posed,0.0799,M
questioned,0.0799,M
reference,0.0796,M
refer,0.079514286,M
presumptively,0.0795,M
convicted,0.079244444,M
complain,0.0792,M
starting,0.0787,M
issuance,0.07864,M
forward,0.0782,M
spoke,0.0782,M
prosecute,0.0781,M
know,0.078066667,M
saying,0.078028571,M
sections,0.0778,M
to,0.077757143,M
funding,0.077666667,M
earliest,0.0776,M
sometimes,0.0776,M
thus,0.077384615,M
wise,0.0773,M
spend,0.0772,M
argues,0.077175,M
perform,0.077114286,M
reason,0.076984615,M
interpreting,0.076971429,M
intent,0.076745455,M
restricted,0.0767,M
occasions,0.0766,M
rationale,0.0764,M
letter,0.076025,M
refuse,0.075933333,M
section,0.075733333,M
eliminating,0.0756,M
franchise,0.0756,M
air,0.0752,M
prohibited,0.07505,M
advise,0.0748,M
dealt,0.0748,M
holmes,0.0748,M
candidate,0.074775,M
instituted,0.0746,M
deals,0.0742,M
punished,0.0742,M
question,0.074123077,M
easy,0.074,M
most,0.073584615,M
understanding,0.073577778,M
meant,0.073325,M
sic,0.0733,M
certainty,0.0732,M
knowing,0.073133333,M
retains,0.0731,M
possible,0.073088889,M
making,0.073022222,M
endorsement,0.0729,M
point,0.07285,M
plenary,0.0727,M
amend,0.0725,M
imprisoned,0.0724,M
own,0.0724,M
foundation,0.072233333,M
disagree,0.071975,M
indirect,0.0718,M
might,0.071738462,M
erred,0.07164,M
used,0.071533333,M
would,0.071085714,M
aug,0.071,M
predicate,0.070966667,M
impairment,0.0708,M
removal,0.0708,M
hand,0.070733333,M
mistake,0.070733333,M
supported,0.070725,M
intermediate,0.0707,M
defined,0.070688889,M
effort,0.0706,M
papers,0.0706,M
author,0.0703,M
immunity,0.0703,M
remainder,0.0702,M
attorney,0.07014,M
communicate,0.07,M
depends,0.069971429,M
reflects,0.069971429,M
affidavit,0.0698,M
closer,0.069733333,M
addresses,0.0697,M
another,0.0696,M
unpersuasive,0.0695,M
affects,0.0694,M
impair,0.0694,M
judicial,0.069353846,M
decide,0.069,M
focuses,0.069,M
geographic,0.069,M
revocation,0.06892,M
summarily,0.06865,M
plausible,0.068633333,M
expect,0.068533333,M
pollution,0.0685,M
supremacy,0.0684,M
explicit,0.068375,M
war,0.068371429,M
blackmun,0.06824,M
literal,0.0681,M
often,0.068088889,M
refers,0.068,M
references,0.0679,M
interfere,0.0678,M
demonstrates,0.067775,M
paragraph,0.067771429,M
write,0.067766667,M
bank,0.067711111,M
asks,0.06764,M
ratified,0.06735,M
things,0.067342857,M
liberties,0.0673,M
anomaly,0.0672,M
reversed,0.067171429,M
roughly,0.0671,M
termination,0.067033333,M
surprising,0.067,M
foregoing,0.06695,M
above,0.066888889,M
discussion,0.06675,M
opposed,0.0666,M
dramatic,0.0664,M
plurality’s,0.0663,M
holding,0.066133333,M
fcc,0.066033333,M
best,0.066,M
i,0.066,M
vote,0.065933333,M
open,0.065666667,M
books,0.0656,M
misrepresentation,0.0656,M
mistakes,0.0654,M
cover,0.065371429,M
unambiguously,0.06535,M
today’s,0.065222222,M
conditional,0.0652,M
speaking,0.0652,M
ask,0.065171429,M
governed,0.065133333,M
proportion,0.0651,M
sentences,0.065075,M
argument,0.064883333,M
dictum,0.0648,M
insofar,0.0648,M
nexus,0.0648,M
administration,0.064733333,M
chairman,0.0646,M
dire,0.06448,M
am,0.064466667,M
reversal,0.064466667,M
convert,0.0644,M
laid,0.0643,M
march,0.06424,M
amendments,0.064133333,M
months,0.064,M
streets,0.064,M
prohibit,0.063925,M
viewed,0.063657143,M
constitution,0.063538462,M
army,0.0635,M
foreclose,0.0634,M
structure,0.06335,M
choice,0.0632,M
preventing,0.0632,M
convince,0.063,M
administrator,0.062914286,M
expressive,0.0629,M
following,0.062733333,M
clean,0.06268,M
made,0.062584615,M
michigan,0.062375,M
distribute,0.0622,M
forbidding,0.0622,M
reaching,0.062171429,M
majority's,0.062088889,M
prisoner,0.062088889,M
totality,0.062,M
foster,0.0619,M
stood,0.0619,M
go,0.061875,M
invoke,0.061866667,M
custody,0.06185,M
mitchell,0.06184,M
violent,0.061833333,M
corrections,0.0617,M
insanity,0.06164,M
subsidy,0.0616,M
trouble,0.0616,M
goods,0.061525,M
tradition,0.061433333,M
prohibition,0.061288889,M
persuaded,0.061233333,M
incrimination,0.0611,M
contains,0.06105,M
adding,0.061,M
agency’s,0.061,M
ratification,0.061,M
viewpoint,0.061,M
contingent,0.0609,M
jefferson,0.0609,M
derived,0.060866667,M
erroneously,0.0608,M
appointment,0.06075,M
desire,0.060742857,M
voir,0.06064,M
enact,0.060633333,M
raised,0.060511111,M
days,0.060444444,M
like,0.060333333,M
respectfully,0.060266667,M
self,0.060266667,M
statute,0.060257143,M
issued,0.060225,M
imply,0.0602,M
canon,0.060133333,M
as,0.0601,M
added,0.0599,M
prohibits,0.05985,M
prohibitions,0.05975,M
construing,0.0596,M
cases,0.059557143,M
surely,0.059333333,M
candidates,0.059125,M
avoidance,0.0591,M
duties,0.05905,M
pretrial,0.059028571,M
shall,0.058984615,M
referred,0.058942857,M
relatively,0.058933333,M
conducted,0.058914286,M
qualification,0.0589,M
regulate,0.058822222,M
committees,0.0588,M
personally,0.0584,M
split,0.0584,M
intend,0.058228571,M
sentenced,0.058228571,M
reasoning,0.0582,M
requests,0.0582,M
great,0.058133333,M
necessarily,0.058133333,M
released,0.05804,M
arrangement,0.0578,M
decides,0.0578,M
place,0.057745455,M
virtually,0.0576,M
passing,0.0574,M
prohibiting,0.057228571,M
from,0.057157143,M
money,0.057088889,M
transcript,0.057,M
voice,0.057,M
system,0.0569,M
definition,0.056866667,M
assuredly,0.0568,M
implicitly,0.0566,M
base,0.056566667,M
confrontation,0.0564,M
keep,0.056371429,M
owned,0.056314286,M
controversial,0.0562,M
governor,0.0562,M
bases,0.0561,M
sixth,0.056088889,M
actually,0.056066667,M
customary,0.056,M
slight,0.056,M
cited,0.0558,M
patently,0.0558,M
because,0.055757143,M
building,0.055742857,M
informal,0.0556,M
persuasive,0.0556,M
justification,0.055533333,M
eligible,0.055514286,M
acquired,0.05544,M
enumerated,0.0554,M
five,0.055325,M
enough,0.055288889,M
restriction,0.055171429,M
completed,0.05508,M
intention,0.055033333,M
lay,0.0549,M
threat,0.0548,M
word,0.054755556,M
enacted,0.0547,M
elements,0.0546,M
indirectly,0.0546,M
threatened,0.0546,M
representation,0.05455,M
reading,0.05434,M
pt,0.0543,M
custodian,0.0542,M
online,0.0542,M
want,0.0542,M
mention,0.054171429,M
detainees,0.054,M
persuade,0.054,M
official,0.053822222,M
cleveland,0.0538,M
disfavored,0.0538,M
executed,0.0538,M
coal,0.053571429,M
my,0.053383333,M
killing,0.05335,M
games,0.0532,M
appellee,0.0531,M
implication,0.053033333,M
license,0.053,M
aircraft,0.0529,M
consists,0.0529,M
better,0.052888889,M
corpus,0.052888889,M
ground,0.052844444,M
endorse,0.0528,M
attack,0.052742857,M
entered,0.052725,M
premise,0.052714286,M
investigate,0.0527,M
consistent,0.052666667,M
permanent,0.0526,M
serve,0.0526,M
petition,0.0524,M
extend,0.052375,M
representing,0.0523,M
reversing,0.0523,M
mr,0.052288889,M
individuals,0.052266667,M
severity,0.0522,M
threatening,0.0522,M
exist,0.052175,M
substance,0.052142857,M
sullivan,0.052133333,M
receipt,0.0521,M
both,0.052030769,M
september,0.052,M
users,0.052,M
enhanced,0.0518,M
dismiss,0.051771429,M
side,0.051771429,M
forfeiture,0.051633333,M
difficulty,0.051571429,M
ideas,0.051533333,M
flow,0.05148,M
paying,0.05144,M
miscarriage,0.0514,M
parental,0.05135,M
duty,0.051311111,M
argued,0.0512,M
sets,0.0512,M
were,0.0511,M
exclude,0.05085,M
division,0.050766667,M
use,0.050692308,M
filled,0.0505,M
affirmed,0.0504,M
telecommunications,0.0504,M
allegations,0.050314286,M
delivered,0.0503,M
attached,0.05024,M
consequence,0.050228571,M
act’s,0.0502,M
constitutions,0.0502,M
nixon,0.0502,M
message,0.050171429,M
believe,0.050133333,M
retrial,0.05,M
TRUE,0.04994,M
denies,0.04988,M
innocence,0.049828571,M
press,0.049828571,M
detention,0.0498,M
therein,0.0497,M
shape,0.0497,M
produces,0.0496,M
respect,0.049583333,M
elementary,0.0494,M
hands,0.0494,M
incarceration,0.0494,M
exchange,0.049371429,M
presidential,0.04935,M
expressed,0.049225,M
leaving,0.0492,M
raise,0.0492,M
technical,0.0492,M
undoubtedly,0.0492,M
discharges,0.049,M
sound,0.048942857,M
tell,0.048914286,M
adds,0.0489,M
collateral,0.04885,M
complaints,0.0488,M
lesser,0.048771429,M
avoids,0.04875,M
certain,0.048709091,M
reveal,0.0487,M
judge's,0.048657143,M
classified,0.0486,M
solution,0.0486,M
order,0.048584615,M
overwhelming,0.0485,M
decisionmaking,0.04844,M
matters,0.0484,M
commissioners,0.0483,M
transfers,0.0483,M
funds,0.048288889,M
last,0.04825,M
adversary,0.04824,M
frivolous,0.0482,M
someone,0.0482,M
overcome,0.04812,M
patents,0.0481,M
appearance,0.048,M
vessel,0.048,M
el,0.0479,M
applicable,0.047888889,M
reservations,0.0478,M
conviction,0.047672727,M
office,0.047666667,M
choices,0.04764,M
submission,0.0475,M
possibility,0.047488889,M
problem,0.047466667,M
require,0.047466667,M
majority’s,0.0474,M
witness,0.0474,M
proceeds,0.047366667,M
merely,0.047345455,M
restrain,0.0472,M
violation,0.047145455,M
prisoners,0.04705,M
strickland,0.04704,M
user,0.047,M
wants,0.047,M
an,0.046885714,M
investors,0.0468,M
avoided,0.04672,M
foot,0.0466,M
justifying,0.0466,M
messages,0.0466,M
reflected,0.046566667,M
parents,0.04655,M
leads,0.04652,M
brings,0.0465,M
customer,0.0465,M
natural,0.046488889,M
legally,0.046433333,M
expression,0.0462,M
isolation,0.0462,M
repeat,0.0462,M
play,0.046133333,M
dignity,0.0461,M
deciding,0.046,M
districts,0.046,M
licenses,0.046,M
confinement,0.045971429,M
contrary,0.045945455,M
elections,0.045925,M
appointed,0.045914286,M
minor,0.045914286,M
people,0.045822222,M
significant,0.04574,M
automatically,0.04572,M
ga,0.0457,M
interview,0.0457,M
fear,0.045525,M
ends,0.0455,M
announcing,0.0454,M
enactment,0.045325,M
observations,0.0453,M
passengers,0.0453,M
institution,0.04528,M
evil,0.0452,M
story,0.0452,M
assignment,0.0451,M
its,0.045071429,M
edwards,0.044966667,M
prisons,0.04495,M
discriminate,0.044933333,M
bivens,0.0449,M
favored,0.0449,M
future,0.044688889,M
privilege,0.0446,M
where,0.044584615,M
democratic,0.044514286,M
concern,0.044488889,M
segregation,0.04448,M
integrity,0.044433333,M
impaired,0.0444,M
exercising,0.044366667,M
rejecting,0.044314286,M
simple,0.04425,M
located,0.044233333,M
establishes,0.044171429,M
provisions,0.04415,M
accused,0.044125,M
argue,0.044125,M
attorney’s,0.0441,M
committed,0.044066667,M
bounds,0.04405,M
questioning,0.044,M
identify,0.043971429,M
successive,0.043966667,M
agency,0.043945455,M
roberts,0.0439,M
about,0.043876923,M
habeas,0.043816667,M
venue,0.0437,M
england,0.04368,M
attempted,0.043571429,M
kill,0.04355,M
reviewing,0.043514286,M
kind,0.043488889,M
mining,0.0434,M
seller,0.0434,M
compulsory,0.0433,M
rehabilitation,0.0433,M
statute’s,0.0433,M
square,0.0432,M
lopez,0.04315,M
further,0.043145455,M
dissent,0.043133333,M
term,0.043109091,M
clark,0.0431,M
treats,0.0431,M
can,0.043092308,M
grounds,0.043088889,M
lord,0.043,M
jj,0.0429,M
reorganization,0.0429,M
objected,0.0429,M
albeit,0.0428,M
millions,0.0428,M
apart,0.042766667,M
dismissal,0.042714286,M
promulgate,0.0427,M
purchaser,0.0427,M
terminate,0.0427,M
affirming,0.0426,M
sponte,0.0426,M
sua,0.0426,M
ballot,0.042533333,M
richardson,0.0425,M
findings,0.042288889,M
yes,0.042033333,M
able,0.042,M
demonstrating,0.042,M
offices,0.042,M
director,0.041933333,M
event,0.041888889,M
character,0.0418,M
checks,0.0417,M
population,0.041675,M
foreseeable,0.0416,M
kinds,0.0416,M
theft,0.0416,M
engaged,0.041525,M
bail,0.0415,M
eliminate,0.041371429,M
lies,0.04124,M
video,0.0412,M
facilities,0.041171429,M
knew,0.041114286,M
indiana,0.04104,M
erroneous,0.040975,M
motives,0.0408,M
probative,0.0408,M
alien,0.040742857,M
probation,0.040733333,M
cfr,0.040725,M
imposed,0.0407,M
television,0.04068,M
charge,0.040622222,M
impeachment,0.0406,M
adoption,0.040571429,M
marshall,0.040542857,M
major,0.040371429,M
automobiles,0.0403,M
cohen,0.0403,M
equally,0.04025,M
publication,0.04024,M
investigation,0.040225,M
exhausted,0.0401,M
misdemeanor,0.0401,M
claiming,0.04,M
commits,0.04,M
iowa,0.04,M
whole,0.04,M
determines,0.039933333,M
ignore,0.039933333,M
rape,0.0399,M
compromise,0.0398,M
detail,0.0398,M
rebuttal,0.0398,M
strange,0.0398,M
FALSE,0.039666667,M
repeal,0.0396,M
secured,0.0396,M
lawful,0.039514286,M
feel,0.0395,M
penalties,0.039428571,M
oppose,0.0394,M
creating,0.039314286,M
races,0.0393,M
whenever,0.039228571,M
borne,0.0392,M
censorship,0.0392,M
happened,0.03915,M
amounted,0.0391,M
register,0.039,M
took,0.039,M
q,0.038971429,M
sentence,0.03895,M
immune,0.0389,M
meritorious,0.0389,M
charter,0.038866667,M
implementation,0.0388,M
nations,0.0388,M
crime,0.038745455,M
concluding,0.038725,M
magistrate,0.038714286,M
coming,0.0387,M
invalid,0.03865,M
handicapped,0.0386,M
mens,0.0386,M
rea,0.0386,M
reviewable,0.0386,M
six,0.0386,M
personnel,0.0386,M
near,0.03844,M
emergency,0.0384,M
sustain,0.0383,M
aliens,0.038275,M
debates,0.0382,M
admittedly,0.0381,M
churches,0.0381,M
demanded,0.0381,M
sheriff,0.03804,M
man,0.038,M
reliable,0.038,M
preserving,0.03784,M
strike,0.037828571,M
supporting,0.037828571,M
east,0.0378,M
included,0.0378,M
somehow,0.037733333,M
delegation,0.0376,M
manifest,0.0376,M
month,0.03748,M
initiate,0.0374,M
jenkins,0.0374,M
trying,0.0374,M
justice,0.037353846,M
merits,0.037311111,M
ambiguous,0.037171429,M
hardship,0.0371,M
bona,0.037,M
complex,0.037,M
executing,0.037,M
fide,0.037,M
obscene,0.037,M
had,0.036957143,M
commerce,0.036933333,M
carter,0.0369,M
treaties,0.0369,M
maintenance,0.03688,M
less,0.03685,M
product,0.036825,M
mandatory,0.036688889,M
alexander,0.0366,M
border,0.0366,M
transfer,0.036488889,M
lawyer,0.0364,M
monroe,0.0364,M
patent,0.0364,M
worse,0.0364,M
driver,0.0363,M
election,0.036288889,M
component,0.0362,M
objectively,0.0362,M
structural,0.0362,M
explicitly,0.036125,M
desegregation,0.036,M
unfairness,0.036,M
deliberations,0.0359,M
florida,0.035866667,M
votes,0.035866667,M
doubtful,0.03575,M
party’s,0.0356,M
briefing,0.03555,M
special,0.035509091,M
gap,0.0355,M
january,0.0355,M
presently,0.0355,M
subdivisions,0.0355,M
table,0.0355,M
statute's,0.03545,M
exhaust,0.0354,M
discharge,0.0352,M
logic,0.0352,M
speak,0.035171429,M
entirety,0.0351,M
avoid,0.035088889,M
intentionally,0.03508,M
importance,0.035022222,M
transaction,0.034971429,M
indictment,0.034942857,M
congressional,0.03494,M
our,0.034857143,M
motivated,0.034833333,M
worst,0.0348,M
hearsay,0.03475,M
prior,0.034733333,M
you,0.034688889,M
detroit,0.0346,M
burdens,0.034571429,M
village,0.0345,M
diligence,0.0344,M
prerequisite,0.0344,M
reynolds,0.0344,M
serving,0.0344,M
anti,0.0343,M
producers,0.0343,M
water,0.034288889,M
elect,0.03424,M
tribe,0.0342,M
types,0.0342,M
situations,0.034171429,M
case,0.034142857,M
served,0.034075,M
flight,0.03404,M
arise,0.034,M
driven,0.034,M
no,0.033971429,M
represent,0.033971429,M
answers,0.033933333,M
river,0.033933333,M
enhancement,0.0339,M
issue,0.033830769,M
coercive,0.0338,M
delayed,0.0338,M
requiring,0.033733333,M
believes,0.033714286,M
described,0.033711111,M
defense,0.033709091,M
general's,0.0337,M
homicide,0.0337,M
interpretive,0.03368,M
definitions,0.0336,M
tells,0.0336,M
threats,0.0336,M
staff,0.0335,M
october,0.03344,M
turner,0.03344,M
ultimate,0.033425,M
comes,0.0334,M
obscenity,0.0334,M
stations,0.0334,M
debts,0.0333,M
house,0.033288889,M
else,0.033233333,M
communications,0.033228571,M
respectful,0.0332,M
using,0.0332,M
longer,0.033175,M
concept,0.033171429,M
exclusion,0.033125,M
expresses,0.0331,M
permitting,0.03305,M
total,0.03305,M
basis,0.032984615,M
sec,0.0329,M
georgia,0.032888889,M
dramatically,0.0328,M
juror,0.0328,M
submit,0.0328,M
granting,0.032714286,M
blackstone,0.0327,M
proposition,0.032688889,M
orderly,0.0325,M
led,0.032371429,M
performed,0.032371429,M
unanimous,0.03228,M
appellant,0.032228571,M
invention,0.0322,M
property,0.032184615,M
deportation,0.032166667,M
assumption,0.032088889,M
very,0.032054545,M
experts,0.032,M
favors,0.032,M
briefs,0.0319,M
illustrates,0.0319,M
red,0.0319,M
distinct,0.031742857,M
beside,0.0317,M
cranch,0.0316,M
net,0.0316,M
procedurally,0.0316,M
x,0.0316,M
reduced,0.03148,M
treat,0.031457143,M
attacks,0.0314,M
library,0.0314,M
rental,0.0314,M
terms,0.031345455,M
favorable,0.031333333,M
adjustment,0.0313,M
floor,0.0313,M
conversation,0.0313,M
broader,0.031228571,M
assignments,0.0312,M
balanced,0.0312,M
poor,0.0312,M
chapter,0.03115,M
constitutes,0.031114286,M
parole,0.031022222,M
lien,0.030971429,M
airport,0.0309,M
intelligence,0.0309,M
epa,0.0308,M
previous,0.030771429,M
seen,0.030733333,M
decree,0.030628571,M
coleman,0.0306,M
date,0.0306,M
engineers,0.0306,M
felony,0.0306,M
corruption,0.03055,M
read,0.03054,M
export,0.030533333,M
composition,0.0305,M
don't,0.0305,M
disposed,0.0304,M
pickering,0.0304,M
all,0.030357143,M
trafficking,0.0303,M
simply,0.030283333,M
acca,0.0302,M
csa,0.0302,M
mean,0.0302,M
persecution,0.0302,M
pollutant,0.0302,M
tenure,0.0302,M
witherspoon,0.0302,M
county,0.03014,M
usage,0.0301,M
sanctions,0.03004,M
bowen,0.03,M
replace,0.03,M
wish,0.03,M
submitted,0.029971429,M
media,0.0299,M
committee,0.029888889,M
depart,0.0298,M
implausible,0.0298,M
check,0.029714286,M
examining,0.0297,M
excluding,0.0297,M
