Feature,Mean Difference,Gender
l.ed,0.422442857,M
s.ct,0.413185714,M
it,0.332342857,M
since,0.232583333,M
but,0.217385714,M
which,0.211414286,M
quite,0.203577778,M
that,0.198714286,M
there,0.170114286,M
say,0.16658,M
presumably,0.163428571,M
is,0.163314286,M
seems,0.1582,M
says,0.154177778,M
such,0.148057143,M
this,0.147857143,M
upon,0.147107692,M
us,0.146933333,M
more,0.140857143,M
these,0.136771429,M
be,0.134257143,M
either,0.131127273,M
wrong,0.1311,M
by,0.1304,M
latter,0.127888889,M
fact,0.126861538,M
much,0.12598,M
am,0.1255,M
whereas,0.125133333,M
than,0.122642857,M
respect,0.119716667,M
though,0.119381818,M
would,0.119028571,M
textual,0.11812,M
different,0.116783333,M
follows,0.1153,M
conclusion,0.1151,M
here,0.114138462,M
discussed,0.113425,M
thought,0.113222222,M
think,0.11192,M
mentioned,0.111733333,M
well,0.110430769,M
majority’s,0.1101,M
other,0.109142857,M
perhaps,0.108866667,M
namely,0.107742857,M
quoted,0.106885714,M
none,0.1051,M
various,0.103488889,M
majority,0.103116667,M
make,0.101692308,M
e.g,0.101333333,M
being,0.10036,M
some,0.099092308,M
what,0.098369231,M
any,0.098285714,M
simply,0.09645,M
obviously,0.0961,M
even,0.095492308,M
why,0.094622222,M
assumption,0.0942,M
utterly,0.0939,M
how,0.0938,M
point,0.093527273,M
have,0.093442857,M
all,0.090785714,M
those,0.090642857,M
forth,0.090555556,M
nothing,0.089927273,M
not,0.088542857,M
wrote,0.088428571,M
decided,0.088111111,M
discuss,0.087733333,M
perfectly,0.0876,M
forbid,0.0872,M
obvious,0.0865,M
way,0.086127273,M
thing,0.085885714,M
reasoning,0.085755556,M
constitution,0.08495,M
consists,0.0843,M
pointed,0.083666667,M
emphasis,0.0831,M
course,0.08255,M
believe,0.082381818,M
dictum,0.0821,M
speaking,0.08112,M
might,0.081030769,M
matters,0.080755556,M
arguably,0.080333333,M
said,0.080054545,M
its,0.079485714,M
basis,0.0794,M
totally,0.0788,M
basic,0.078377778,M
rather,0.077,M
event,0.076888889,M
difficult,0.076644444,M
sort,0.07655,M
difference,0.076311111,M
was,0.076014286,M
assuredly,0.0758,M
reason,0.0755,M
holding,0.0753,M
correct,0.0752,M
of,0.075185714,M
made,0.075107692,M
includes,0.0742,M
attempt,0.073422222,M
tradition,0.072966667,M
with,0.072957143,M
been,0.0723,M
least,0.071927273,M
find,0.07182,M
just,0.071727273,M
appendix,0.0714,M
induce,0.0714,M
insofar,0.071028571,M
forbidding,0.0708,M
so,0.070228571,M
dicta,0.0699,M
as,0.069828571,M
discussion,0.06935,M
assumes,0.0692,M
fashion,0.068733333,M
broader,0.068485714,M
literally,0.0679,M
justifying,0.0669,M
are,0.066842857,M
having,0.066755556,M
statute’s,0.0667,M
seemingly,0.0666,M
proposition,0.066488889,M
t,0.066327273,M
makes,0.06582,M
f.supp,0.0657,M
assume,0.065355556,M
anyone,0.065233333,M
paragraph,0.064885714,M
added,0.06475,M
statute,0.064128571,M
exists,0.0641,M
existence,0.063577778,M
infra,0.063485714,M
persuaded,0.063266667,M
prohibitions,0.0625,M
seem,0.062342857,M
understand,0.0621,M
help,0.061485714,M
whatever,0.061422222,M
usage,0.0609,M
hence,0.060885714,M
saying,0.060133333,M
worth,0.059966667,M
difficulty,0.059942857,M
itself,0.0599,M
opinion,0.059692308,M
mistaken,0.0593,M
somewhat,0.059133333,M
one,0.059028571,M
then,0.057892308,M
century,0.057828571,M
describe,0.057733333,M
opposite,0.0576,M
me,0.057577778,M
views,0.05725,M
respondent’s,0.0572,M
another,0.057036364,M
implication,0.056966667,M
deal,0.056628571,M
involving,0.056533333,M
adds,0.0562,M
treated,0.0559,M
probably,0.055066667,M
explicit,0.05475,M
does,0.054642857,M
subsections,0.0545,M
necessary,0.054316667,M
avoids,0.0541,M
own,0.05405,M
democratic,0.053733333,M
phrase,0.053666667,M
apparently,0.0536,M
forbidden,0.0535,M
impossible,0.053485714,M
answer,0.052955556,M
possible,0.052955556,M
dealing,0.052342857,M
question,0.052015385,M
done,0.05195,M
implicit,0.05164,M
providing,0.051355556,M
if,0.050985714,M
confirms,0.050866667,M
opposed,0.050866667,M
my,0.050836364,M
right,0.050738462,M
kind,0.050555556,M
implicitly,0.05052,M
excluded,0.050342857,M
statutory,0.050138462,M
debate,0.050028571,M
has,0.049985714,M
many,0.04978,M
assuming,0.04975,M
passed,0.0497,M
certain,0.049616667,M
were,0.049557143,M
thinks,0.0494,M
surely,0.049355556,M
need,0.04935,M
interpreting,0.049085714,M
differently,0.048733333,M
irrelevant,0.0487,M
solicitor,0.04864,M
importance,0.048625,M
congress’s,0.048266667,M
result,0.048216667,M
most,0.0481,M
included,0.047888889,M
almost,0.0477,M
gives,0.0477,M
facilities,0.047685714,M
normal,0.047685714,M
orderly,0.0475,M
involves,0.0471,M
analysis,0.046854545,M
pure,0.0468,M
things,0.046742857,M
respondent,0.046738462,M
prohibited,0.0467,M
history,0.046381818,M
odd,0.0458,M
ever,0.04575,M
will,0.045514286,M
