Feature,Mean Difference,Gender
l.ed,0.418942857,M
s.ct,0.412571429,M
it,0.340457143,M
that,0.223571429,M
since,0.215083333,M
but,0.205742857,M
which,0.201714286,M
quite,0.196466667,M
there,0.193,M
say,0.17362,M
seems,0.161555556,M
upon,0.152153846,M
presumably,0.149685714,M
says,0.146955556,M
such,0.146657143,M
is,0.144214286,M
this,0.141671429,M
latter,0.140355556,M
us,0.1362,M
am,0.134325,M
be,0.130285714,M
wrong,0.129875,M
these,0.1289,M
much,0.12762,M
think,0.12646,M
would,0.125314286,M
respect,0.123466667,M
fact,0.1218,M
whereas,0.119733333,M
various,0.118022222,M
of,0.1167,M
thought,0.116355556,M
by,0.115414286,M
either,0.114981818,M
more,0.113757143,M
namely,0.111514286,M
well,0.111461538,M
though,0.110636364,M
textual,0.11,M
different,0.1074,M
believe,0.107090909,M
point,0.106763636,M
none,0.1056,M
follows,0.10555,M
perhaps,0.105155556,M
even,0.105057143,M
conclusion,0.10505,M
why,0.105022222,M
text,0.10354,M
forth,0.103355556,M
here,0.1024,M
than,0.101885714,M
what,0.101246154,M
majority,0.100866667,M
quoted,0.100285714,M
make,0.099753846,M
have,0.098814286,M
government’s,0.098771429,M
utterly,0.0985,M
other,0.095857143,M
being,0.09454,M
find,0.0944,M
mentioned,0.094266667,M
said,0.094109091,M
course,0.093266667,M
some,0.093046154,M
discussed,0.0913,M
event,0.090755556,M
assumption,0.0897,M
obvious,0.0893,M
perfectly,0.08864,M
might,0.087307692,M
simply,0.086766667,M
e.g,0.08665,M
how,0.086145455,M
nothing,0.0856,M
way,0.084745455,M
consists,0.08455,M
any,0.083528571,M
discuss,0.083366667,M
difference,0.083355556,M
obviously,0.0832,M
totally,0.0831,M
pointed,0.082933333,M
basic,0.0826,M
so,0.080528571,M
not,0.080242857,M
been,0.08,M
basis,0.0796,M
forbidding,0.0796,M
thing,0.078857143,M
wrote,0.078771429,M
constitution,0.0776,M
reasoning,0.076955556,M
understand,0.076525,M
those,0.0761,M
discussion,0.075325,M
dictum,0.07515,M
speaking,0.07484,M
assuredly,0.0748,M
forbid,0.0746,M
majority’s,0.0744,M
arguably,0.072933333,M
tradition,0.072766667,M
reason,0.072633333,M
help,0.072142857,M
its,0.071557143,M
assume,0.071244444,M
to,0.070571429,M
somewhat,0.070433333,M
saying,0.070266667,M
paragraph,0.069885714,M
all,0.069714286,M
just,0.069436364,M
insofar,0.069228571,M
was,0.069128571,M
difficult,0.068755556,M
done,0.0687,M
statute’s,0.068333333,M
emphasis,0.068166667,M
sort,0.068,M
least,0.067654545,M
proposition,0.067266667,M
majority's,0.067114286,M
statute,0.066685714,M
